815,IGIP - international Society for Engineering Education Annual Meeting,,ERA2010,C,No,09,,
875,"International Conference for Bulk Materials Storage, Handling and Transportation",,ERA2010,A,No,0910,0913,0915
893,International Conference on Advanced Materials Processing,,ERA2010,B,No,0910,0913,
894,International Conference on Advances and Trends in Engineering Materials and Their Applications,,ERA2010,A,No,0910,0913,
898,International Conference on Advances in Materials and Processing Technologies,,ERA2010,A,No,0910,0913,
903,International Conference On Agile Manufacturing,,ERA2010,A,No,0910,0913,0915
924,International Conference on Biomedical and Pharmaceutical Engineering,,ERA2010,B,No,0903,,
932,International Conference on Coastal Engineering,,ERA2010,A,No,0905,,
940,International Conference on Composite Materials,,ERA2010,A,No,0910,0913,
1012,International Conference on Engineering Computational Technology,,ERA2010,B,No,0910,0905,0913
1015,International Conference on Enhancement and Promotion of Computational Methods in Engineering and Science,,ERA2010,A,No,0910,0913,0905
1021,International conference on ER fluids and MR suspensions,,ERA2010,A,No,0913,0915,
1027,International Conference on Fast Sea Transportation,,ERA2010,A,No,0911,0913,
1029,"International Conference on Fluid Control, Measurements, and Visualization",,ERA2010,B,No,0913,0901,0915
1030,International Conference on Fluid Mechanics,,ERA2010,B,No,0913,0901,0915
1051,International Conference on High Performance Yacht Design,,ERA2010,A,No,0911,0913,
1057,International Conference on Hydroinformatics,,ERA2010,C,No,0905,0907,
1116,International Conference on Leading Edge Manufacturing in 21st Century,,ERA2010,A,No,0910,0913,
1118,International Conference on Liquid Atomization and Spray Systems,,ERA2010,A,No,0902,0913,
1128,"International Conference on Mechanics of structures, Materials and System",,ERA2010,B,No,0910,0905,
1130,International Conference on Metal Forming,,ERA2010,A,No,0910,0913,
1135,International Conference on Modal Analysis,,ERA2010,A,No,0905,0913,
1138,International Conference on Modelling and Diagnostics For Advanced Engine Systems,,ERA2010,A,No,0902,0913,
1154,International Conference on New Forming Technology,,ERA2010,A,No,0910,0913,
1158,International Conference on Numerical Methods in Industrial Forming Processes,,ERA2010,A,No,0910,0913,
1159,"International Conference on Ocean, Offshore and Arctic Engineering",,ERA2010,A,No,0911,0913,0907
1174,International Conference on Pressure Surges,,ERA2010,A,No,0905,,
1180,International Conference on Product Research,,ERA2010,B,No,0910,0913,0915
1205,International Conference on Shock and Impact Loads on Structures,,ERA2010,B,No,0905,,
1224,International Conference on Steel Rolling,,ERA2010,A,No,0910,0913,
1225,International Conference on Structural Health Monitoring of Intelligent Infrastructure,,ERA2010,A,No,0905,,
1233,International Conference on Technology of Plasticity,,ERA2010,A,No,0910,0913,
1257,International Conference on Urban Drainage,,ERA2010,A,No,0905,0907,
1268,International Conference on Water Sensitive Urban Design,,ERA2010,B,No,0905,0907,
1274,International Conference on Wind Engineering,,ERA2010,A,No,0905,,
1281,International Conferences on Advances in Steel Structures,,ERA2010,A,No,0905,,
1282,International Conferences on Progress of Machining Technology,,ERA2010,A,No,0910,0913,
1283,International Congress Aeronautical Sciences,,ERA2010,B,No,0901,0913,
1287,International Congress of Theoretical and Applied Mechanics,,ERA2010,A,No,0913,,
1289,International Congress on Fracture,,ERA2010,A,No,0913,0901,
1290,International Congress on Industrial and Applied Mathematics,,ERA2010,B,No,0910,0913,
1293,International Corrosion Congress,,ERA2010,A,No,0913,,
1295,International Crashworthiness Conference,,ERA2010,B,No,0902,0903,0913
1298,International Fatigue Congress,,ERA2010,A,No,0901,0913,0910
1299,International Ferroalloy Congress,,ERA2010,A,No,0914,,
1304,International Geostatistics Congress,,ERA2010,A,No,0914,,
