"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"Dumachi A.I.; Negoita F.","Dumachi, Andreea Ionela (59454140500); Negoita, Felix (58882642700)","59454140500; 58882642700","Hardware Acceleration for Machine Learning in Medical Imaging: Case Study on Colorectal Polyp Segmentation","2024","Proceedings of the International Semiconductor Conference, CAS","","","","321","324","3","1","10.1109/CAS62834.2024.10736775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210853301&doi=10.1109%2fCAS62834.2024.10736775&partnerID=40&md5=5b2101b69278eaad869622a09444f9d5","IEEE; IEEE Electron Devices Society; Ministry of Research, Innovation, and Digitalization of Romania","47th International Semiconductor Conference, CAS 2024","9 October 2024 through 11 October 2024","Sinaia","203867","Conference paper","Final","","Scopus","2-s2.0-85210853301"
"Vashist L.; Kumar M.","Vashist, Lokender (57214243718); Kumar, Mukesh (55367259000)","57214243718; 55367259000","Design of canny edge detection hardware accelerator using xfOpenCV library","2020","Advances in Intelligent Systems and Computing","1108 AISC","","","1171","1178","7","0","10.1007/978-3-030-37218-7_123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078529256&doi=10.1007%2f978-3-030-37218-7_123&partnerID=40&md5=2f89add25cd8ea30034339c5768917ec","","3rd International Conference on Computational Vision and Bio Inspired Computing, ICCVBIC 2019","25 September 2019 through 26 September 2019","Coimbatore","235819","Conference paper","Final","","Scopus","2-s2.0-85078529256"
"Sebastian-Aurelian S.","Sebastian-Aurelian, Stefaniga (57205019626)","57205019626","Methods of acceleration for feature extractions in medical imaging using GPU processing","2021","Proceedings - 2021 23rd International Symposium on Symbolic and Numeric Algorithms for Scientific Computing, SYNASC 2021","","","","234","241","7","0","10.1109/SYNASC54541.2021.00047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127055631&doi=10.1109%2fSYNASC54541.2021.00047&partnerID=40&md5=7c475f9eb48e7ea4a86b1e987d3c2c6a","","23rd International Symposium on Symbolic and Numeric Algorithms for Scientific Computing, SYNASC 2021","7 December 2021 through 10 December 2021","Virtual, Online","177183","Conference paper","Final","","Scopus","2-s2.0-85127055631"
