"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"Stavrev S.; Ginchev D.","Stavrev, Stefan (57204956632); Ginchev, Dimitar (57220154582)","57204956632; 57220154582","Prototype Monitoring System Detecting Mental Workload During Pilot Simulation Training","2023","2023 9th International Conference on Military Technologies, ICMT 2023 - Proceedings","","","","","","","1","10.1109/ICMT58149.2023.10171264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166377609&doi=10.1109%2fICMT58149.2023.10171264&partnerID=40&md5=9ddbdabcca1bda3a2ab88ae21c144ebd","","9th International Conference on Military Technologies, ICMT 2023","23 May 2023 through 26 May 2023","Brno","190626","Conference paper","Final","","Scopus","2-s2.0-85166377609"
"Stavrev S.; Ginchev D.","Stavrev, Stefan (57204956632); Ginchev, Dimitar (57220154582)","57204956632; 57220154582","Detection and Analysis of Commercial Drivers’ Focus and Attention Using Sensors and Simulators","2024","AIP Conference Proceedings","3064","1","050003","","","","0","10.1063/5.0198827","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190967085&doi=10.1063%2f5.0198827&partnerID=40&md5=daf6c4760e004a49644f0b49abef7428","","14th International Scientific Conference on Aeronautics, Automotive, and Railway Engineering and Technologies, BulTrans 2022","10 September 2022 through 13 September 2022","Hybrid, Sozopol","198745","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85190967085"
"Peelam M.S.; Naren; Gera M.; Chamola V.; Zeadally S.","Peelam, Mritunjay Shall (57263897400); Naren (57215844696); Gera, Mehul (59414644300); Chamola, Vinay (55427784900); Zeadally, Sherali (7003472739)","57263897400; 57215844696; 59414644300; 55427784900; 7003472739","A Review on Emergency Vehicle Management for Intelligent Transportation Systems","2024","IEEE Transactions on Intelligent Transportation Systems","25","11","","15229","15246","17","11","10.1109/TITS.2024.3440474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208159718&doi=10.1109%2fTITS.2024.3440474&partnerID=40&md5=3571bec38872b44e5b7d08c59ec208f8","","","","","","Article","Final","","Scopus","2-s2.0-85208159718"
"Bin Rozaimi I.D.; Zaman F.H.K.; Abdullah S.A.C.; Abidin H.Z.; Mazalan L.","Bin Rozaimi, Ismail Danish (58654012800); Zaman, Fadhlan Hafizhelmi Kamaru (57211748029); Abdullah, Syahrul Afzal Che (54406628500); Abidin, Husna Zainol (52165115900); Mazalan, Lucyantie (25825334400)","58654012800; 57211748029; 54406628500; 52165115900; 25825334400","Driver Drowsiness Detection Using Deep Learning Models Based on Different Camera Positions","2023","2023 11th International Conference on Information and Communication Technology, ICoICT 2023","2023-August","","","611","616","5","2","10.1109/ICoICT58202.2023.10262759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174410612&doi=10.1109%2fICoICT58202.2023.10262759&partnerID=40&md5=c5536b370e1223404e28ca8fff7b883c","","11th International Conference on Information and Communication Technology, ICoICT 2023","23 August 2023 through 24 August 2023","Melaka","193107","Conference paper","Final","","Scopus","2-s2.0-85174410612"
